s,kW,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,m3/s,kg/s,kg/s
Time,DC HRR,NIST HRR,FDS HRR,CORNER RHF-1,CORNER RHF-2,CORNER RHF-3,CORNER RHF-4,CORNER RHF-5,CORNER RHF-6,CORNER RHF-7,CORNER RHF-8,CORNER RHF-9,CORNER RHF-10,CORNER RHF-11,CORNER RHF-12,CORNER RHF-13,CORNER RHF-14,CORNER RHF-15,CORNER RHF-16,CORNER RHF-17,CORNER RHF-18,CORNER RHF-19,CORNER RHF-20,CORNER RHF-21,CORNER RHF-22,CORNER RHF-23,CORNER RHF-24,CORNER RHF-25,CORNER RHF-26,CORNER RHF-27,CORNER RHF-28,CORNER RHF-29,GHF_x05-1,GHF_x05-2,GHF_x05-3,GHF_x05-4,GHF_x05-5,GHF_x05-6,GHF_x05-7,GHF_x05-8,GHF_x05-9,GHF_x05-10,GHF_x05-11,GHF_x05-12,GHF_x05-13,GHF_x05-14,GHF_x05-15,GHF_x05-16,GHF_x05-17,GHF_x05-18,GHF_x05-19,GHF_x05-20,GHF_x05-21,GHF_x05-22,GHF_x05-23,GHF_x05-24,GHF_x05-25,GHF_x05-26,GHF_x05-27,GHF_x05-28,GHF_x05-29,GHF_x05-30,GHF_x05-31,GHF_x05-32,GHF_x05-33,GHF_x05-34,GHF_x05-35,GHF_x05-36,GHF_x10-1,GHF_x10-2,GHF_x10-3,GHF_x10-4,GHF_x10-5,GHF_x10-6,GHF_x10-7,GHF_x10-8,GHF_x10-9,GHF_x10-10,GHF_x10-11,GHF_x10-12,GHF_x10-13,GHF_x10-14,GHF_x10-15,GHF_x10-16,GHF_x10-17,GHF_x10-18,GHF_x10-19,GHF_x10-20,GHF_x10-21,GHF_x10-22,GHF_x10-23,GHF_x10-24,GHF_x10-25,GHF_x10-26,GHF_x10-27,GHF_x10-28,GHF_x10-29,GHF_x10-30,GHF_x10-31,GHF_x10-32,GHF_x10-33,GHF_x10-34,GHF_x10-35,GHF_x10-36,GHF_x15-1,GHF_x15-2,GHF_x15-3,GHF_x15-4,GHF_x15-5,GHF_x15-6,GHF_x15-7,GHF_x15-8,GHF_x15-9,GHF_x15-10,GHF_x15-11,GHF_x15-12,GHF_x15-13,GHF_x15-14,GHF_x15-15,GHF_x15-16,GHF_x15-17,GHF_x15-18,GHF_x15-19,GHF_x15-20,GHF_x15-21,GHF_x15-22,GHF_x15-23,GHF_x15-24,GHF_x15-25,GHF_x15-26,GHF_x15-27,GHF_x15-28,GHF_x15-29,GHF_x15-30,GHF_x15-31,GHF_x15-32,GHF_x15-33,GHF_x15-34,GHF_x15-35,GHF_x15-36,GHF_x22-1,GHF_x22-2,GHF_x22-3,GHF_x22-4,GHF_x22-5,GHF_x22-6,GHF_x22-7,GHF_x22-8,GHF_x22-9,GHF_x22-10,GHF_x22-11,GHF_x22-12,GHF_x22-13,GHF_x22-14,GHF_x22-15,GHF_x22-16,GHF_x22-17,GHF_x22-18,GHF_x22-19,GHF_x22-20,GHF_x22-21,GHF_x22-22,GHF_x22-23,GHF_x22-24,GHF_x22-25,GHF_x22-26,GHF_x22-27,GHF_x22-28,GHF_x22-29,GHF_x22-30,GHF_x22-31,GHF_x22-32,GHF_x22-33,GHF_x22-34,GHF_x22-35,GHF_x22-36,O2amb,CO2amb,N2wamb,O2wamb,CO2wamb,H2Oamb,O2,CO,CO2,SOOT,H2O,T,VF,MF,CO_MF
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 3.8626084E-002, 3.8451604E-002, 3.8309072E-002, 3.8173032E-002, 3.8038709E-002, 3.7902414E-002, 3.7756155E-002, 3.7595881E-002, 3.7433641E-002, 3.7299922E-002, 3.7224916E-002, 3.7184839E-002, 3.7118983E-002, 3.7002897E-002, 3.6866254E-002, 3.6739314E-002, 3.6634270E-002, 3.6546013E-002, 3.6461835E-002, 3.6369601E-002, 3.6261303E-002, 3.6133435E-002, 3.5986311E-002, 3.5823237E-002, 3.5649106E-002, 3.5467337E-002, 3.5274870E-002, 3.5057864E-002, 3.4794150E-002, 3.4466436E-002, 3.4079324E-002, 3.3944302E-002, 3.4018930E-002, 3.4069960E-002, 3.4081562E-002, 3.4060865E-002, 3.8474266E-002, 3.8278203E-002, 3.8115961E-002, 3.7960997E-002, 3.7810043E-002, 3.7659592E-002, 3.7500383E-002, 3.7326416E-002, 3.7148607E-002, 3.6998817E-002, 3.6910823E-002, 3.6859805E-002, 3.6780601E-002, 3.6647620E-002, 3.6494087E-002, 3.6351714E-002, 3.6231799E-002, 3.6127634E-002, 3.6025482E-002, 3.5912986E-002, 3.5782345E-002, 3.5630237E-002, 3.5456875E-002, 3.5265124E-002, 3.5059243E-002, 3.4842092E-002, 3.4610504E-002, 3.4351395E-002, 3.4044550E-002, 3.3676150E-002, 3.3256263E-002, 3.3457286E-002, 3.3532874E-002, 3.3590527E-002, 3.3612244E-002, 3.3605359E-002, 3.8325881E-002, 3.8107297E-002, 3.7924337E-002, 3.7749930E-002, 3.7582571E-002, 3.7418924E-002, 3.7248302E-002, 3.7062476E-002, 3.6870878E-002, 3.6706530E-002, 3.6606921E-002, 3.6546257E-002, 3.6454976E-002, 3.6306445E-002, 3.6137698E-002, 3.5981900E-002, 3.5849403E-002, 3.5731977E-002, 3.5615054E-002, 3.5486308E-002, 3.5338400E-002, 3.5168439E-002, 3.4976766E-002, 3.4766078E-002, 3.4540383E-002, 3.4302602E-002, 3.4050408E-002, 3.3772566E-002, 3.3451461E-002, 3.3075992E-002, 3.2658901E-002, 3.3103137E-002, 3.3169828E-002, 3.3223095E-002, 3.3244758E-002, 3.3241593E-002, 3.8032325E-002, 3.7767531E-002, 3.7540770E-002, 3.7326907E-002, 3.7128598E-002, 3.6942146E-002, 3.6753083E-002, 3.6547883E-002, 3.6332288E-002, 3.6141310E-002, 3.6020500E-002, 3.5942446E-002, 3.5829166E-002, 3.5652227E-002, 3.5456949E-002, 3.5279336E-002, 3.5127735E-002, 3.4991097E-002, 3.4853710E-002, 3.4703900E-002, 3.4535804E-002, 3.4347860E-002, 3.4141069E-002, 3.3918106E-002, 3.3682747E-002, 3.3438365E-002, 3.3184744E-002, 3.2914631E-002, 3.2614590E-002, 3.2274783E-002, 3.1905470E-002, 3.2619868E-002, 3.2658541E-002, 3.2685398E-002, 3.2687329E-002, 3.2671537E-002, 2.0954574E-001, 3.9011087E-004, 7.7993971E-001, 2.0686048E-001, 3.8511172E-004, 1.2814698E-002, 2.0954574E-001, 0.0000000E+000, 3.9011087E-004, 0.0000000E+000, 1.2814698E-002, 2.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0009089E+000, 0.0000000E+000,-2.1223155E-069, 8.8464524E+000, 4.4549432E-002, 4.4850603E-002, 4.7431009E-002, 4.4390364E-002, 4.0640276E-002, 3.7564249E-002, 3.4371932E-002, 3.3264142E-002, 3.1964811E-002, 3.0445491E-002, 2.7171956E-002, 2.5579409E-002, 2.4049577E-002, 2.2579986E-002, 2.1167163E-002, 1.8517217E-002, 1.7286957E-002, 1.6122693E-002, 1.5024166E-002, 1.3016848E-002, 1.2102665E-002, 1.1243694E-002, 1.0435939E-002, 8.9615793E-003, 8.2960554E-003, 4.6774438E-003, 4.3881114E-003, 3.8792141E-003, 3.6517388E-003, 4.0930232E+000, 3.8901422E+000, 3.3991663E+000, 2.7918341E+000, 2.1923106E+000, 1.6246761E+000, 1.1617559E+000, 8.1767311E-001, 5.8923259E-001, 4.4054537E-001, 3.4112098E-001, 2.7172112E-001, 2.2189049E-001, 1.8528906E-001, 1.5786409E-001, 1.3700313E-001, 1.2093193E-001, 1.0839673E-001, 9.8494298E-002, 9.0582734E-002, 8.4200330E-002, 7.9006084E-002, 7.4744643E-002, 7.1222188E-002, 6.8289105E-002, 6.5828098E-002, 6.3746422E-002, 6.1971754E-002, 6.0450314E-002, 5.9144081E-002, 5.8022994E-002, 5.4638698E-002, 5.4107855E-002, 5.3654584E-002, 5.3260422E-002, 5.2907523E-002, 6.2482778E+000, 5.9259942E+000, 4.9603726E+000, 3.9273941E+000, 2.9723519E+000, 2.1596926E+000, 1.5296297E+000, 1.0612675E+000, 7.3263385E-001, 5.2532936E-001, 3.9498848E-001, 3.0788494E-001, 2.4699689E-001, 2.0307442E-001, 1.7068016E-001, 1.4634488E-001, 1.2778731E-001, 1.1343306E-001, 1.0219594E-001, 9.3292335E-002, 8.6163144E-002, 8.0401497E-002, 7.5705340E-002, 7.1847141E-002, 6.8652876E-002, 6.5987191E-002, 6.3743734E-002, 6.1839921E-002, 6.0214523E-002, 5.8824687E-002, 5.7637896E-002, 5.4299137E-002, 5.3742117E-002, 5.3269516E-002, 5.2861201E-002, 5.2499069E-002, 5.9448017E+000, 5.7186263E+000, 4.8213327E+000, 3.7807485E+000, 2.8563042E+000, 2.0960277E+000, 1.5044539E+000, 1.0630081E+000, 7.4754514E-001, 5.3139165E-001, 3.9178662E-001, 3.0233603E-001, 2.4183488E-001, 1.9876291E-001, 1.6719946E-001, 1.4361020E-001, 1.2569179E-001, 1.1186666E-001, 1.0104976E-001, 9.2477782E-002, 8.5609738E-002, 8.0051717E-002, 7.5512722E-002, 7.1774470E-002, 6.8670495E-002, 6.6071504E-002, 6.3875990E-002, 6.2005069E-002, 6.0400645E-002, 5.9023092E-002, 5.7843350E-002, 5.4412497E-002, 5.3854895E-002, 5.3381309E-002, 5.2971310E-002, 5.2607197E-002, 3.3271530E+000, 3.0273163E+000, 2.5316606E+000, 2.0521797E+000, 1.6256758E+000, 1.2332449E+000, 9.1961025E-001, 6.7049637E-001, 4.8660121E-001, 3.6530357E-001, 2.8673520E-001, 2.3202143E-001, 1.9254526E-001, 1.6328585E-001, 1.4121332E-001, 1.2433237E-001, 1.1123362E-001, 1.0093735E-001, 9.2745847E-002, 8.6159441E-002, 8.0811499E-002, 7.6429681E-002, 7.2809453E-002, 6.9795055E-002, 6.7265908E-002, 6.5126717E-002, 6.3301124E-002, 6.1729060E-002, 6.0366936E-002, 5.9187391E-002, 5.8172513E-002, 5.4792270E-002, 5.4314161E-002, 5.3909296E-002, 5.3557592E-002, 5.3242604E-002, 2.0954574E-001, 3.9011087E-004, 7.7993971E-001, 2.0686048E-001, 3.8511172E-004, 1.2814698E-002, 2.0954574E-001, 4.1520573E-070, 3.9011087E-004, 1.9367573E-069, 1.2814698E-002, 2.4997737E+001, 4.2614227E-001, 5.0004844E-001, 1.9992492E-070
 2.0016578E+000, 0.0000000E+000,-5.3062121E-024, 1.6189324E+001, 2.3490590E-001, 2.4052312E-001, 2.6114109E-001, 2.5168703E-001, 2.3927718E-001, 2.2938016E-001, 2.1574810E-001, 2.0896701E-001, 2.0157396E-001, 1.9373253E-001, 1.7728828E-001, 1.6899382E-001, 1.6081664E-001, 1.5277999E-001, 1.4488313E-001, 1.2969360E-001, 1.2249304E-001, 1.1559711E-001, 1.0901316E-001, 9.6736580E-002, 9.1039422E-002, 8.5633548E-002, 8.0513215E-002, 7.1100845E-002, 6.6793968E-002, 5.8898801E-002, 5.5323708E-002, 4.8832937E-002, 4.5896889E-002, 1.8684219E+001, 2.0801582E+001, 2.0209639E+001, 1.8133966E+001, 1.5606100E+001, 1.3122079E+001, 1.1003153E+001, 9.2568606E+000, 7.8782014E+000, 6.7691025E+000, 5.8979103E+000, 5.1753914E+000, 4.5485559E+000, 4.0161416E+000, 3.5885895E+000, 3.2306107E+000, 2.9133453E+000, 2.6327292E+000, 2.3841184E+000, 2.1738658E+000, 1.9907837E+000, 1.8242908E+000, 1.6757545E+000, 1.5460128E+000, 1.4316120E+000, 1.3186803E+000, 1.2164142E+000, 1.1204387E+000, 1.0288229E+000, 9.3233192E-001, 8.4300896E-001, 7.5099464E-001, 6.7924801E-001, 6.1275359E-001, 5.3897511E-001, 4.6452860E-001, 2.3192133E+001, 2.5278902E+001, 2.3168724E+001, 1.9537997E+001, 1.5717932E+001, 1.2350140E+001, 9.8391420E+000, 8.0041047E+000, 6.6485978E+000, 5.6260990E+000, 4.8316010E+000, 4.1794821E+000, 3.6355446E+000, 3.1659388E+000, 2.7474890E+000, 2.3834580E+000, 2.0686372E+000, 1.7990906E+000, 1.5805389E+000, 1.4247141E+000, 1.3152596E+000, 1.2273667E+000, 1.1421629E+000, 1.0607952E+000, 9.8703777E-001, 9.2266297E-001, 8.6866473E-001, 8.1874185E-001, 7.6205254E-001, 7.0707597E-001, 6.5708023E-001, 6.0394099E-001, 5.4680613E-001, 4.9546200E-001, 4.3773715E-001, 3.8205072E-001, 2.0182546E+001, 1.9726734E+001, 1.5397425E+001, 1.1802370E+001, 9.0614985E+000, 6.9861338E+000, 5.6198786E+000, 4.7065679E+000, 4.0387849E+000, 3.5127912E+000, 3.0721825E+000, 2.6773548E+000, 2.3472623E+000, 2.0592088E+000, 1.7908061E+000, 1.5415146E+000, 1.3229941E+000, 1.1257267E+000, 9.5414459E-001, 8.1752302E-001, 7.1869933E-001, 6.5334079E-001, 6.0902198E-001, 5.7700041E-001, 5.5010466E-001, 5.2972562E-001, 5.0952849E-001, 4.9038418E-001, 4.6758945E-001, 4.4492366E-001, 4.2188754E-001, 4.0002214E-001, 3.7602918E-001, 3.5612123E-001, 3.2914457E-001, 3.1057959E-001, 7.0018177E+000, 5.7012645E+000, 4.5450723E+000, 3.6971421E+000, 3.0589409E+000, 2.5831182E+000, 2.2086272E+000, 1.9082029E+000, 1.6676779E+000, 1.4595509E+000, 1.2890332E+000, 1.1464932E+000, 1.0237567E+000, 9.0925267E-001, 8.1011609E-001, 7.2348716E-001, 6.3556993E-001, 5.4223301E-001, 4.5884253E-001, 3.9563906E-001, 3.5425206E-001, 3.2262223E-001, 2.9708251E-001, 2.7357745E-001, 2.4998876E-001, 2.3239758E-001, 2.2437345E-001, 2.1974469E-001, 2.1791253E-001, 2.1471911E-001, 2.1009413E-001, 2.0208372E-001, 1.9264346E-001, 1.8445199E-001, 1.7382378E-001, 1.7343967E-001, 2.0954574E-001, 3.9011087E-004, 7.7993971E-001, 2.0686048E-001, 3.8511172E-004, 1.2814698E-002, 2.0954574E-001, 3.8879151E-025, 3.9011087E-004, 1.8134016E-024, 1.2814698E-002, 2.4998579E+001, 5.3985197E-001, 6.3347711E-001, 2.3715879E-025
 3.0001282E+000, 2.6885071E+000, 2.4993699E+000, 1.8953178E+001, 3.2972310E-001, 3.3703680E-001, 3.6437236E-001, 3.5893816E-001, 3.4749203E-001, 3.3607077E-001, 3.1847136E-001, 3.1068280E-001, 3.0223731E-001, 2.9288196E-001, 2.7268686E-001, 2.6228968E-001, 2.5168024E-001, 2.4105293E-001, 2.3064449E-001, 2.1023703E-001, 2.0015181E-001, 1.9036615E-001, 1.8097574E-001, 1.6320031E-001, 1.5479757E-001, 1.4674309E-001, 1.3905745E-001, 1.2479589E-001, 1.1817251E-001, 1.0819050E-001, 1.0246296E-001, 9.1860667E-002, 8.6966462E-002, 2.2573532E+001, 2.7426297E+001, 2.9802519E+001, 2.8773692E+001, 2.6471789E+001, 2.3577288E+001, 2.0758657E+001, 1.8272523E+001, 1.6161961E+001, 1.4483635E+001, 1.3059126E+001, 1.1929964E+001, 1.0920456E+001, 1.0112244E+001, 9.3602804E+000, 8.7705141E+000, 8.2206602E+000, 7.7635377E+000, 7.3118322E+000, 6.9179571E+000, 6.5068830E+000, 6.1369728E+000, 5.7445018E+000, 5.4154724E+000, 5.0583355E+000, 4.7723051E+000, 4.4564205E+000, 4.2116969E+000, 3.9391724E+000, 3.7256177E+000, 3.4663904E+000, 3.2558561E+000, 3.0431521E+000, 2.8777983E+000, 2.6440748E+000, 2.4768748E+000, 2.6079322E+001, 3.0707669E+001, 3.0299382E+001, 2.6710282E+001, 2.2759962E+001, 1.9144628E+001, 1.5830169E+001, 1.3294127E+001, 1.1178979E+001, 9.5880455E+000, 8.3263006E+000, 7.3978650E+000, 6.5609483E+000, 5.9070238E+000, 5.2870492E+000, 4.8859613E+000, 4.4860682E+000, 4.2398801E+000, 3.9782390E+000, 3.8036524E+000, 3.5872225E+000, 3.4240306E+000, 3.2333037E+000, 3.1074159E+000, 2.9440577E+000, 2.8176687E+000, 2.6418315E+000, 2.5238511E+000, 2.3664245E+000, 2.2607810E+000, 2.1103098E+000, 2.0136012E+000, 1.9033075E+000, 1.8472550E+000, 1.7273047E+000, 1.6720553E+000, 2.1472239E+001, 2.1781429E+001, 1.7577873E+001, 1.3556092E+001, 1.0773899E+001, 8.8312012E+000, 7.0780490E+000, 5.7278623E+000, 4.7527051E+000, 4.0745723E+000, 3.5613872E+000, 3.1893300E+000, 2.8918505E+000, 2.6796837E+000, 2.4637186E+000, 2.2810729E+000, 2.1237247E+000, 2.0279785E+000, 1.9252285E+000, 1.8745882E+000, 1.8026762E+000, 1.7958476E+000, 1.7328563E+000, 1.7070775E+000, 1.6232092E+000, 1.5911133E+000, 1.5258916E+000, 1.5059284E+000, 1.4604014E+000, 1.4535617E+000, 1.3901221E+000, 1.3684855E+000, 1.3225379E+000, 1.3168495E+000, 1.2465390E+000, 1.2410371E+000, 7.0670816E+000, 6.1240886E+000, 5.0488026E+000, 4.0524559E+000, 3.4096016E+000, 2.9416824E+000, 2.5708523E+000, 2.2786482E+000, 2.0155292E+000, 1.7760857E+000, 1.5832323E+000, 1.4409489E+000, 1.3213682E+000, 1.2325335E+000, 1.1325622E+000, 1.0659292E+000, 1.0152843E+000, 9.7516317E-001, 9.2302537E-001, 8.6950110E-001, 7.9515945E-001, 7.3117192E-001, 6.5712641E-001, 6.0153109E-001, 5.2848783E-001, 4.8365182E-001, 4.5151765E-001, 4.4676660E-001, 4.5054616E-001, 4.7045486E-001, 4.7669151E-001, 4.8218569E-001, 4.9547473E-001, 5.2809236E-001, 5.1580743E-001, 5.5287938E-001, 2.0954574E-001, 3.9011087E-004, 7.7993971E-001, 2.0686048E-001, 3.8511172E-004, 1.2814698E-002, 2.0878028E-001, 1.3245948E-006, 8.8757646E-004, 6.1781635E-006, 1.3474406E-002, 3.1600278E+001, 5.5722171E-001, 6.3968619E-001, 8.1543181E-007
 4.0003441E+000, 8.1522300E+000, 7.5780555E+000, 2.2708447E+001, 3.8588475E-001, 3.9657441E-001, 4.2919503E-001, 4.2754791E-001, 4.1928555E-001, 4.1014666E-001, 3.9464101E-001, 3.8666220E-001, 3.7776412E-001, 3.6798258E-001, 3.4613157E-001, 3.3437534E-001, 3.2241671E-001, 3.1049214E-001, 2.9863731E-001, 2.7477138E-001, 2.6299023E-001, 2.5150913E-001, 2.4022117E-001, 2.1831243E-001, 2.0796669E-001, 1.9797366E-001, 1.8822327E-001, 1.6959339E-001, 1.6095887E-001, 1.5216153E-001, 1.4440745E-001, 1.2969772E-001, 1.2283832E-001, 2.2236315E+001, 2.7371604E+001, 3.1104982E+001, 3.2293269E+001, 3.1691689E+001, 2.9992489E+001, 2.7727187E+001, 2.5300386E+001, 2.2831687E+001, 2.0631107E+001, 1.8488164E+001, 1.6682090E+001, 1.4994525E+001, 1.3634976E+001, 1.2373546E+001, 1.1360172E+001, 1.0390204E+001, 9.6021292E+000, 8.8265924E+000, 8.2127336E+000, 7.5730325E+000, 7.0765517E+000, 6.5752969E+000, 6.2179867E+000, 5.8287838E+000, 5.5485227E+000, 5.2462660E+000, 5.0262204E+000, 4.7759866E+000, 4.6072170E+000, 4.4117767E+000, 4.2841896E+000, 4.0713343E+000, 3.9153852E+000, 3.6682078E+000, 3.4607345E+000, 2.2837606E+001, 2.7423643E+001, 2.9088291E+001, 2.7930845E+001, 2.4959714E+001, 2.1549326E+001, 1.8503703E+001, 1.5953214E+001, 1.3806227E+001, 1.2116006E+001, 1.0602813E+001, 9.4495673E+000, 8.4344493E+000, 7.6452171E+000, 6.8822316E+000, 6.2691628E+000, 5.7012672E+000, 5.2691138E+000, 4.8367799E+000, 4.5195549E+000, 4.1681619E+000, 3.9482000E+000, 3.7257049E+000, 3.6092984E+000, 3.4572660E+000, 3.3683403E+000, 3.2389715E+000, 3.1702531E+000, 3.0557026E+000, 2.9941922E+000, 2.9052973E+000, 2.8856517E+000, 2.7885623E+000, 2.7564666E+000, 2.6454685E+000, 2.6064718E+000, 1.9447294E+001, 2.1778751E+001, 1.9620171E+001, 1.6482758E+001, 1.3490926E+001, 1.1072787E+001, 9.3219430E+000, 7.9424973E+000, 6.7870043E+000, 5.9283994E+000, 5.2039310E+000, 4.6582044E+000, 4.1428941E+000, 3.7237523E+000, 3.3283959E+000, 3.0344473E+000, 2.7644887E+000, 2.5830518E+000, 2.3876081E+000, 2.2579871E+000, 2.1288253E+000, 2.0750831E+000, 2.0075385E+000, 2.0119059E+000, 1.9841656E+000, 1.9878841E+000, 1.9513309E+000, 1.9467751E+000, 1.9147362E+000, 1.9043355E+000, 1.8783991E+000, 1.9133527E+000, 1.8942055E+000, 1.9318224E+000, 1.9052776E+000, 1.9817952E+000, 6.7952996E+000, 6.0445185E+000, 5.4578137E+000, 4.7269841E+000, 4.0797934E+000, 3.5189130E+000, 3.0685616E+000, 2.6721797E+000, 2.3387415E+000, 2.0967763E+000, 1.8954817E+000, 1.7539921E+000, 1.6210564E+000, 1.5114767E+000, 1.3964301E+000, 1.2889035E+000, 1.1418744E+000, 1.0194712E+000, 9.1072439E-001, 8.6944019E-001, 8.0121543E-001, 8.0357777E-001, 7.4718071E-001, 7.5662362E-001, 7.4435738E-001, 7.8213784E-001, 7.6400623E-001, 7.5582557E-001, 6.8423141E-001, 6.8298123E-001, 6.6354818E-001, 7.1677589E-001, 6.8134169E-001, 7.3634923E-001, 7.6022929E-001, 8.9403590E-001, 2.0954574E-001, 3.9011087E-004, 7.7993971E-001, 2.0686048E-001, 3.8511172E-004, 1.2814698E-002, 2.0827651E-001, 2.1963228E-006, 1.2149631E-003, 1.0244069E-005, 1.3908085E-002, 3.6410113E+001, 5.5962335E-001, 6.3237746E-001, 1.3361129E-006
